id,tipo,pergunta,resposta_ideal,resposta_obtida,criterios_ok,criterios_total,passou,falhas
T01,consulta de energia,Quanto de energia da rede a estação consumiu hoje e quanto foi solar?,"A rede forneceu 36,2 kWh; o solar direto entregou 98,4 kWh e a bateria 13,3 kWh, o que dá 75,5% de energia renovável nas recargas.","Hoje a estação entregou 147,8 kWh aos veículos: 98,4 kWh de solar direto, 13,3 kWh vindos da bateria e 36,2 kWh da rede. Isso dá 75,5% de energia renovável. A usina gerou 139,1 kWh e 26,0 kWh de excedente não foram aproveitados. (Dados simulados.)",3,3,sim,
T02,pico de demanda,Qual foi o pico de potência da rede e por que isso importa?,"O pico foi 8,9 kW (contra 14,8 kW sem IA), abaixo dos 22 kW contratados. Pico menor dá folga à instalação e reduz o custo de demanda.","O pico de potência da rede foi 8,9 kW às 19:10, contra 14,8 kW sem IA (40% menor). Isso importa porque a potência contratada é 22 kW: quanto menor o pico, mais folga na instalação e menor o custo de demanda.",3,3,sim,
T03,faturamento,Quanto faturei hoje e qual foi a margem?,"Faturamento de R$ 325,21, custo de rede de R$ 34,36 e margem de R$ 290,85 (valores ilustrativos da simulação).","Faturamento do dia: R$ 325,21 (energia entregue × R$ 2,20/kWh). Custo da energia comprada da rede: R$ 34,36. Margem: R$ 290,85. Sem a IA o custo da rede seria R$ 49,50, ou seja, uma economia de R$ 15,14 no dia. Valores ilustrativos de uma simulação.",3,3,sim,
T04,detalhe de sessão,Como foi a sessão 5?,"Sessão 5 (17:00-22:00): SoC de 20% para 70%, meta atingida. Energia: 1,4 kWh solar, 10,7 kWh bateria e 15,1 kWh rede, pois é uma sessão noturna.","Sessão 5 (porta 1, Sedan eletrico 50 kWh): chegou às 17:00 e saiu às 22:00; SoC de 20% para 70% (meta 70%, atingida: sim). Energia: 1,4 kWh de solar, 10,7 kWh da bateria e 15,1 kWh da rede (44,6% renovável); faturamento de R$ 59,78. Sessão no período noturno, sem geração solar. O gerenciador usou a bateria primeiro e a rede só para completar o déficit e cumprir a meta até a hora de saída.",4,4,sim,
T05,memória de contexto (seguimento),Como foi a sessão 5? | E a 6?,"Sessão 6 (18:30-23:00): SoC de 15% para 65%, meta atingida, com 17,5 kWh vindos da rede. O bot entendeu que 'a 6' é a sessão 6 pelo histórico.","Continuando sobre as sessões: Sessão 6 (porta 3, Utilitario 35 kWh): chegou às 18:30 e saiu às 23:00; SoC de 15% para 65% (meta 65%, atingida: sim). Energia: 0,0 kWh de solar, 1,5 kWh da bateria e 17,5 kWh da rede (8,0% renovável); faturamento de R$ 41,85. Sessão no período noturno, sem geração solar. O gerenciador usou a bateria primeiro e a rede só para completar o déficit e cumprir a meta até a hora de saída.",3,3,sim,
T06,previsão solar / confiabilidade,Qual a previsão de geração solar e quão confiável é o modelo?,"Regressão linear com MAE de 0,83 kW e R² de 0,93 em dias de teste; erro médio de 14,6% na energia diária. Dados simulados.","O modelo de IA prevê a geração solar com MAE de 0,83 kW, RMSE de 1,65 kW e R² de 0,93, medidos em 30 dias de teste que não entraram no treino. O erro médio na energia diária é 14,6%. É um modelo simples (regressão linear) treinado com dados simulados; em campo é preciso revalidar com dados reais.",3,3,sim,
T07,estado em um horário,Como estava a estação às 19:00?,"Às 19:00, 2 veículos conectados recebendo 14,4 kW: 10,0 kW da bateria e 4,4 kW da rede, sem geração solar.","Às 19:00 havia 2 veículos conectados, recebendo 14,4 kW no total: 0,0 kW de solar, 10,0 kW da bateria e 4,4 kW da rede. A geração solar era 0,0 kW e a bateria estava com 21,9% de carga.",4,4,sim,
T08,comparação com e sem IA,Vale a pena usar IA e bateria? Compare com o cenário sem IA.,"Sim: a energia da rede caiu 30,5%, a fração renovável subiu 10,7 p.p. e o pico da rede caiu 40%, com todas as metas de carga cumpridas.","Comparando com o cenário sem IA e sem bateria (mesmo dia e mesmas sessões): a energia da rede caiu 30,5% (de 52,1 para 36,2 kWh), a fração renovável subiu de 64,8% para 75,5% (+10,7 p.p.) e o pico da rede caiu 40%. Economia de R$ 15,14 no dia e 0,96 kg de CO₂ evitados; metas de carga atingidas: 6/6. (Simulação.)",3,3,sim,
T09,pergunta fora do escopo,Qual é a capital da França?,Recusa educada: só responde sobre a operação da estação e oferece ajuda dentro do escopo (sem responder a pergunta).,"Sou o assistente do ChargeGrid Intelligence e só respondo sobre a operação desta estação de recarga: energia, sessões, faturamento, pico de demanda, previsão solar e comparação com e sem IA. Esse assunto está fora do meu escopo. Quer um resumo do dia?",2,2,sim,
T10,sem dados (não inventar),Quantos carros o condomínio Solar Park recarregou este mês?,"Diz que não tem dados sobre outros locais e informa que só possui dados da estação simulada, sem inventar números.","Não tenho dados sobre outros locais, condomínios ou unidades (só existem dados desta estação). Só disponho dos dados da estação simulada SolarCharge AI (1 dia, 6 sessões). Posso responder algo sobre ela?",2,2,sim,
